ontology ID,label,entity type,Parent,alternative term,Chinese translation,definition,definition source,editor note,has_MedDRA_id,term editor,obsolete,has obsolescence reason (AI),replacement term
OAE:0006095,obsolete ophthalmic artery thrombosis AE,Class,obsolete class,,眼动脉血栓形成,"This is an AE which is the formation of a blood clot inside a ophthalmic artery  blood vessel, obstructing the flow of blood through the circulatory system.",http://en.volupedia.org/wiki/Thrombosis,,10081144,"QY, JX, HY",true,http://purl.obolibrary.org/obo/IAO_0000227,OAE:0004559
OAE:0006102,obsolete orbital edema AE,Class,obsolete class,,眼眶水肿,This is an AE which is the build-up of fluid in the orbital  tissue.,http://en.volupedia.org/wiki/Edema,,10031051,"QY, JX, HY",true,http://purl.obolibrary.org/obo/IAO_0000227,OAE:0001252
OAE:0002685,obsolete osteonecrosis of jaw AE,Class,obsolete class,,,a necrosis AE that has a necrotic process occurring in the bone of the mandible.,,,10064658,"MW, YH",true,http://purl.obolibrary.org/obo/IAO_0000227,OAE:0001260
OAE:0002529,obsolete parotitis AE,Class,obsolete class,,,"A parotid gladn enlargement AE that has an outcome of parotitis, the inflammation of one or more of the parotid glands.",WEB: http://emedicine.medscape.com/article/882461-overview|WEB: http://www.nlm.nih.gov/medlineplus/ency/article/001041.htm,,10034038,"KM, YH",true,http://purl.obolibrary.org/obo/IAO_0000227,OAE:0001964
OAE:0007744,obsolete pathological fracture AE,Class,obsolete class,,病理性骨折,This is an AE which is a bone fracture caused by weakness of the bone structure that leads to decrease mechanical resistance to normal mechanical loads.,http://en.volupedia.org/wiki/Pathologic_fracture,,10034156,"QY, JX, HY",true,http://purl.obolibrary.org/obo/IAO_0000227,OAE:0001280
OAE:0006225,obsolete periorbital edema AE,Class,obsolete class,,眶周水肿,This is an AE which is the build-up of fluid in the periorbital tissue.,http://en.volupedia.org/wiki/Edema,,10034545,"QY, JX, HY",true,http://purl.obolibrary.org/obo/IAO_0000227,OAE:0000681
OAE:0006434,obsolete peripheral artery thrombosis AE,Class,obsolete class,,外周动脉血栓形成,This is an AE which occurs when a blood clot forms in the artery that provides blood flow to the peripheral.,http://en.volupedia.org/wiki/Hepatic_artery_thrombosis,,10072564,"QY, JX, HY",true,http://purl.obolibrary.org/obo/IAO_0000227,OAE:0004539
OAE:0005788,obsolete pharyngeal edema AE,Class,obsolete class,,咽部水肿,This is an AE which is the build-up of fluid in the pharyngeal tissue.,http://en.volupedia.org/wiki/Edema,,10034829,"QY, JX, HY",true,http://purl.obolibrary.org/obo/IAO_0000227,OAE:0000342
OAE:0009317,obsolete pitting edema AE,Class,obsolete class,,凹陷性水肿,,,,10035076,"QY, JX, HY",true,http://purl.obolibrary.org/obo/IAO_0000227,OAE:0001935
OAE:0008705,obsolete pneumomediastinum AE,Class,obsolete class,,纵隔气肿,This is an AE which is pneumatosis (abnormal presence of air or other gas) in the mediastinum.,http://en.volupedia.org/wiki/Pneumomediastinum,,10050184,"QY, JX, HY",true,http://purl.obolibrary.org/obo/IAO_0000227,OAE:0001304
OAE:0005133,obsolete pulmonary artery thrombosis AE,Class,obsolete class,,肺动脉血栓形成,"This is an AE which is the formation of a pulmonary artery blood clot inside a blood vessel, obstructing the flow of blood through the circulatory system.",http://en.volupedia.org/wiki/Thrombosis,,10037340,"QY, JX, HY",true,http://purl.obolibrary.org/obo/IAO_0000227,OAE:0004581
OAE:0001363,obsolete reflux esophagitis AE,Class,obsolete class,reflux oesophagitis AE,,"a digestive system AE located in the esophagus, can present with heartburn, and nausea, caused by gastroesophageal reflux disease",WEB: http://medical-dictionary.thefreedictionary.com/esophagitis,,10038263,"SZ, SS, YH",true,http://purl.obolibrary.org/obo/IAO_0000227,OAE:0005757
OAE:0005869,obsolete regurgitation AE,Class,obsolete class,,反流,"This is an AE which is the expulsion of material from the pharynx, or esophagus, usually characterized by the presence of undigested food or blood.",http://en.volupedia.org/wiki/Regurgitation_(digestion),,10067171,"QY, JX, HY",true,http://purl.obolibrary.org/obo/IAO_0000227,OAE:0001988
OAE:0007506,obsolete renal tubular necrosis AE,Class,obsolete class,,肾小管坏死,This is an AE which is a medical condition involving the death of tubular epithelial cells that form the renal tubules of the kidneys.,http://en.volupedia.org/wiki/Acute_tubular_necrosis,,10038540,"QY, JX, HY",true,http://purl.obolibrary.org/obo/IAO_0000227,OAE:0004453
OAE:0006120,obsolete retinal artery thrombosis AE,Class,obsolete class,,视网膜动脉血栓形成,"This is an AE which is the formation of a blood clot inside a retinal artery vessel, obstructing the flow of blood through the circulatory system.",http://en.volupedia.org/wiki/Thrombosis,,10038831,"QY, JX, HY",true,http://purl.obolibrary.org/obo/IAO_0000227,OAE:0004563
OAE:0009180,obsolete stevens-johnson syndrome AE,Class,obsolete class,,史蒂文斯-约翰逊综合征,This is an AE which is a type of severe skin reaction.,http://en.volupedia.org/wiki/Stevens%E2%80%93Johnson_syndrome,,10042033,"QY, JX, HY",true,http://purl.obolibrary.org/obo/IAO_0000227,OAE:0001425
OAE:0007277,obsolete suture related complication AE,Class,obsolete class,,缝合相关并发症,This is an AE which is an suture related unfavorable result of a disease.,http://en.volupedia.org/wiki/Complication_(medicine),,10059059,"QY, JX, HY",true,http://purl.obolibrary.org/obo/IAO_0000227,OAE:0001439
OAE:0008073,obsolete tongue edema AE,Class,obsolete class,,舌水肿,This is an AE which is the build-up of fluid in the tongue tissue.,http://en.volupedia.org/wiki/Edema,,10043967,"QY, JX, HY",true,http://purl.obolibrary.org/obo/IAO_0000227,OAE:0000472
OAE:0002643,obsolete vagus nerve disorder AE,Class,obsolete class,,,a cranial neuropathy AE that has  involvement of the vagus nerve (tenth cranial nerve).,,,10061403,"MW, YH",true,http://purl.obolibrary.org/obo/IAO_0000227,OAE:0004731
OAE:0005269,obsolete ventricular arrhythmia AE,Class,obsolete class,,室性心律失常,This is an AE which is a type of arrhythmia.,http://en.volupedia.org/wiki/Arrhythmia#Ventricular_arrhythmia,,10047281,"QY, JX, HY",true,http://purl.obolibrary.org/obo/IAO_0000227,OAE:0002580
OAE:0002045,obsolete vesicular rash AE,Class,obsolete class,rash vesicular AE,,a rash AE characterized by the formation of vesicles,WEB: http://www.merriam-webster.com/medical/vesicular,,10037898,RR,true,http://purl.obolibrary.org/obo/IAO_0000227,OAE:0002540
